mode,file,status,n_rows_after_clean,n_blocks,n_windows
train,train_seg1_20260126_102443.csv,OK,1435,1,13
train,train_seg2_20260126_102746.csv,OK,32120,2,318
train,train_seg3_20260126_110333.csv,OK,30028,2,298
train,train_seg4_20260126_115236.csv,OK,22807,1,227
train,train_seg5_20260126_123402.csv,OK,31427,2,311
subway,subway_seg1_20260125_095718.csv,OK,3827,1,37
subway,subway_seg2_20260125_100016.csv,OK,3870,1,37
subway,subway_seg3_20260125_100314.csv,OK,6318,1,62
subway,subway_seg4_20260125_101329.csv,OK,5259,1,51
subway,subway_seg5_20260125_101721.csv,OK,10520,1,104
subway,subway_seg6_20260125_102446.csv,OK,1259,1,11
car,car_seg1_20260203_192212.csv,OK,15066,2,147
car,car_seg2_20260203_194440.csv,OK,14331,2,140
car,car_seg3_20260224_143641.csv,OK,26406,1,263
car,car_seg4_20260224_145510.csv,OK,32035,1,319
bus,bus_seg1_20260204_170911.csv,OK,31267,1,311
bus,bus_seg2_20260204_173011.csv,OK,29112,1,290
bus,bus_seg3_20260204_175040.csv,OK,26405,1,263
walk,walk_seg1_20260204_092439.csv,OK,13947,1,138
walk,walk_seg2_20260204_102215.csv,OK,3064,1,29
walk,walk_seg3_20260204_113119.csv,OK,7304,1,72
