#logger=serial_logger_v1.3
#saved_at=2026-02-04T17:50:40.308365
#fs_hz=25
#fs_hz_inferred=1
#segment_id=3
#segment_start_ms=2522048
#device_mode_code=5
#device_mode_tag=bus
#storage_mode_tag=bus
#mode_mismatch=0
t_ms,ax_raw,ay_raw,az_raw,ax_corr,ay_corr,az_corr,acc_mag_corr,gx,gy,gz,pressure_hpa,temp_C,alt_m
2522048,-6.2300,-0.4000,7.4000,-6.0374,-0.2025,7.7472,9.8240,-1.0625,7.5000,0.6250,998.29,8.59,125.32
2522067,-7.0900,-0.5400,6.8400,-6.8974,-0.3425,7.1872,9.9673,-4.7500,10.5625,-0.3125,997.26,8.54,134.02
2522093,-7.7800,0.0500,7.0200,-7.5874,0.2475,7.3672,10.5785,-0.2500,12.7500,1.3750,996.49,8.52,140.51
2522118,-5.9400,-0.8700,6.1800,-5.7474,-0.6725,6.5272,8.7229,10.1875,9.8750,2.5625,995.90,8.51,145.49
2522144,-6.8400,0.2200,6.0200,-6.6474,0.4175,6.3672,9.2143,0.8750,5.6875,2.5000,995.45,8.52,149.30
2522168,-6.0400,-0.2900,5.8800,-5.8474,-0.0925,6.2272,8.5428,1.1250,5.8750,0.8750,995.11,8.53,152.10
2522196,-6.9000,-0.1800,6.0500,-6.7074,0.0175,6.3972,9.2690,-7.1250,4.0625,-5.0625,994.86,8.55,154.25
2522229,-6.9800,-0.9700,6.2400,-6.7874,-0.7725,6.5872,9.4898,-13.8125,0.3125,-7.5000,994.68,8.56,155.74
2522269,-6.9700,-0.6400,6.6100,-6.7774,-0.4425,6.9572,9.7227,-6.0000,2.3750,-4.8125,994.52,8.58,157.10
2522308,-7.1700,-0.5300,6.1700,-6.9774,-0.3325,6.5172,9.5535,0.6875,3.6875,-0.5625,994.42,8.59,157.94
2522348,-6.5300,-0.4200,6.5200,-6.3374,-0.2225,6.8672,9.3472,1.6875,0.1250,-0.6250,994.34,8.59,158.68
2522388,-7.3000,-0.5700,6.6500,-7.1074,-0.3725,6.9972,9.9807,-2.0625,0.7500,-1.8125,994.27,8.59,159.21
2522428,-7.3800,-0.8400,6.5000,-7.1874,-0.6425,6.8472,9.9476,-1.6250,1.5625,-2.0625,994.24,8.60,159.47
2522468,-6.9900,-0.6600,6.7700,-6.7974,-0.4625,7.1172,9.8526,0.5625,1.3125,-1.3750,994.20,8.60,159.85
2522508,-7.2800,-0.4400,6.6200,-7.0874,-0.2425,6.9672,9.9414,-1.0000,1.0625,-1.5000,994.18,8.60,159.98
2522548,-7.3500,-0.4200,6.5000,-7.1574,-0.2225,6.8472,9.9077,-3.0000,-0.4375,-2.5625,994.17,8.60,160.11
2522588,-7.4600,-0.4800,6.6600,-7.2674,-0.2825,7.0072,10.0993,-3.4375,-0.6875,-3.8125,994.14,8.60,160.33
2522628,-7.4900,-0.9400,6.5400,-7.2974,-0.7425,6.8872,10.0617,-1.6250,-0.9375,-2.8125,994.13,8.60,160.45
2522668,-7.0200,-0.8700,6.5000,-6.8274,-0.6725,6.8472,9.6928,1.4375,-2.4375,-1.0000,994.12,8.60,160.51
2522708,-6.9500,-0.8600,6.4300,-6.7574,-0.6625,6.7772,9.5933,2.2500,-2.6875,-0.2500,994.11,8.60,160.55
2522749,-6.3700,-0.6800,6.2200,-6.1774,-0.4825,6.5672,9.0289,0.8125,-0.0625,1.0625,994.10,8.60,160.71
2522789,-6.9300,-0.3100,6.5000,-6.7374,-0.1125,6.8472,9.6067,-0.5625,1.3125,1.3125,994.10,8.60,160.64
2522829,-7.1800,-0.6200,6.0900,-6.9874,-0.4225,6.4372,9.5100,1.8750,-0.1875,0.6250,994.12,8.60,160.54
2522869,-7.3500,-0.4000,6.5800,-7.1574,-0.2025,6.9272,9.9627,2.2500,-2.0625,1.0625,994.11,8.60,160.57
2522909,-6.9400,-0.4100,6.5900,-6.7474,-0.2125,6.9372,9.6797,2.5000,-1.8750,1.8750,994.11,8.60,160.56
2522949,-6.7700,-0.3900,6.1000,-6.5774,-0.1925,6.4472,9.2123,1.3125,1.2500,1.6875,994.11,8.60,160.58
2522989,-7.2900,-0.3200,6.5700,-7.0974,-0.1225,6.9172,9.9114,0.9375,-0.4375,1.0000,994.11,8.60,160.58
2523029,-7.6600,-0.1100,6.6100,-7.4674,0.0875,6.9572,10.2065,-1.3125,-2.4375,0.7500,994.10,8.61,160.63
2523069,-7.2700,-0.7700,6.6300,-7.0774,-0.5725,6.9772,9.9548,0.8125,0.0000,-0.6250,994.10,8.60,160.71
