#logger=serial_logger_v1.3
#saved_at=2026-02-24T14:36:41.227604
#fs_hz=25
#fs_hz_inferred=1
#segment_id=1
#segment_start_ms=741150
#device_mode_code=6
#device_mode_tag=car
#storage_mode_tag=car
#mode_mismatch=0
t_ms,ax_raw,ay_raw,az_raw,ax_corr,ay_corr,az_corr,acc_mag_corr,gx,gy,gz,pressure_hpa,temp_C,alt_m
741150,-9.1300,-0.8000,3.5900,-8.9374,-0.6025,3.9372,9.7848,-2.8125,2.1875,0.1250,812.68,22.62,1822.27
741169,-9.1700,-0.9600,3.7300,-8.9774,-0.7625,4.0772,9.8893,-5.1250,3.3750,0.1250,1002.68,20.47,88.34
741194,-8.9100,-0.7800,3.4700,-8.7174,-0.5825,3.8172,9.5343,-12.8125,7.3750,1.6250,1002.68,20.48,88.37
741219,-8.6800,-0.9800,2.7200,-8.4874,-0.7825,3.0672,9.0585,-31.6250,15.8750,4.0625,1002.68,20.51,88.38
741245,-9.5400,-1.5500,2.8300,-9.3474,-1.3525,3.1772,9.9648,-7.0000,11.3750,10.5000,1002.67,20.53,88.43
741270,-8.5200,-0.2200,3.5000,-8.3274,-0.0225,3.8472,9.1732,3.6250,-1.0625,11.8125,1002.67,20.56,88.48
741294,-8.9700,-0.7100,3.0200,-8.7774,-0.5125,3.3672,9.4151,-2.1250,0.3125,8.0625,1002.67,20.58,88.44
741321,-9.2400,-0.7400,3.5500,-9.0474,-0.5425,3.8972,9.8660,0.3125,-0.3750,5.8750,1002.67,20.61,88.47
741346,-9.1900,-0.6100,3.3700,-8.9974,-0.4125,3.7172,9.7438,-0.7500,0.1875,1.8750,1002.66,20.63,88.51
741386,-9.1900,-0.9300,3.4500,-8.9974,-0.7325,3.7972,9.7933,-0.1875,-0.9375,0.0625,1002.66,20.65,88.56
741426,-9.1600,-0.7800,3.4000,-8.9674,-0.5825,3.7472,9.7363,-0.3750,0.5000,-0.1250,1002.65,20.66,88.63
741466,-9.0700,-0.7100,3.2900,-8.8774,-0.5125,3.6372,9.6073,0.0000,-0.2500,0.0000,1002.64,20.67,88.69
741506,-9.2500,-0.8400,3.4500,-9.0574,-0.6425,3.7972,9.8422,0.1250,-0.1875,0.0000,1002.64,20.67,88.68
741546,-9.2200,-0.8000,3.4900,-9.0274,-0.6025,3.8372,9.8276,-0.0625,0.5000,0.0625,1002.64,20.67,88.71
741585,-9.1500,-0.8100,3.3700,-8.9574,-0.6125,3.7172,9.7174,0.1250,-0.3750,-0.0625,1002.65,20.67,88.65
741625,-9.1800,-0.8400,3.4100,-8.9874,-0.6425,3.7572,9.7623,-0.1250,0.0625,-0.0625,1002.65,20.67,88.64
741666,-9.2100,-0.7200,3.3700,-9.0174,-0.5225,3.7172,9.7675,0.0625,0.0000,0.1875,1002.65,20.67,88.62
741706,-9.1900,-0.8500,3.4000,-8.9974,-0.6525,3.7472,9.7683,0.1250,0.0625,-0.0625,1002.65,20.67,88.66
741746,-9.1600,-0.8200,3.3900,-8.9674,-0.6225,3.7372,9.7349,0.0000,0.0625,-0.1250,1002.65,20.67,88.64
741786,-9.1000,-0.7200,3.3900,-8.9074,-0.5225,3.7372,9.6738,0.1875,-0.4375,0.0000,1002.65,20.67,88.63
741826,-9.1600,-0.9100,3.4200,-8.9674,-0.7125,3.7672,9.7526,-0.1250,0.0625,-0.1250,1002.66,20.67,88.57
741866,-9.1800,-0.8900,3.3700,-8.9874,-0.6925,3.7172,9.7504,-0.3125,-0.1250,-0.1875,1002.66,20.67,88.57
741906,-9.1800,-0.8900,3.3300,-8.9874,-0.6925,3.6772,9.7352,0.0000,0.3125,-0.2500,1002.66,20.67,88.54
741946,-9.2100,-0.8000,3.4400,-9.0174,-0.6025,3.7872,9.7989,-0.0625,-0.3125,-0.0625,1002.66,20.66,88.58
741986,-9.2100,-0.8900,3.4100,-9.0174,-0.6925,3.7572,9.7933,-0.1875,0.0625,-0.0625,1002.65,20.66,88.59
742026,-9.2700,-0.9600,3.4000,-9.0774,-0.7625,3.7472,9.8500,0.0000,0.1875,-0.1875,1002.65,20.66,88.62
742066,-9.1300,-0.7900,3.4100,-8.9374,-0.5925,3.7572,9.7131,0.1875,-0.4375,0.0625,1002.65,20.66,88.64
742106,-9.1500,-0.7900,3.3700,-8.9574,-0.5925,3.7172,9.7162,0.0625,0.0625,-0.0625,1002.65,20.66,88.60
742146,-9.2300,-0.8700,3.4400,-9.0374,-0.6725,3.7872,9.8219,-0.2500,-0.1875,-0.1250,1002.66,20.66,88.54
742186,-9.1900,-0.8400,3.3800,-8.9974,-0.6425,3.7272,9.7600,0.0000,-0.1875,0.0000,1002.66,20.66,88.54
742226,-9.2000,-0.8400,3.3500,-9.0074,-0.6425,3.6972,9.7578,0.0625,-0.0625,-0.1875,1002.66,20.67,88.54
742266,-9.1800,-0.7900,3.4500,-8.9874,-0.5925,3.7972,9.7746,0.0000,-0.3125,-0.1875,1002.66,20.67,88.56
742306,-9.2100,-0.8400,3.3700,-9.0174,-0.6425,3.7172,9.7747,0.0000,0.1875,-0.0625,1002.66,20.67,88.54
742346,-9.2200,-0.8900,3.4700,-9.0274,-0.6925,3.8172,9.8257,0.0625,-0.2500,0.1250,1002.66,20.67,88.51
742386,-9.1200,-0.7900,3.3500,-8.9274,-0.5925,3.6972,9.6808,0.3125,-0.0625,0.2500,1002.66,20.66,88.57
742426,-9.1700,-0.7800,3.4200,-8.9774,-0.5825,3.7672,9.7532,0.0000,0.1875,0.0625,1002.65,20.66,88.65
742466,-9.2000,-0.7900,3.4500,-9.0074,-0.5925,3.7972,9.7930,0.0000,0.1875,0.1250,1002.65,20.66,88.66
742506,-9.1900,-0.7800,3.3800,-8.9974,-0.5825,3.7272,9.7563,0.0000,0.1250,0.1250,1002.64,20.66,88.70
742546,-9.1200,-0.8100,3.4000,-8.9274,-0.6125,3.7472,9.7013,-0.1250,-0.1875,-0.0625,1002.64,20.66,88.71
742585,-9.1700,-0.9000,3.4000,-8.9774,-0.7025,3.7472,9.7534,-0.2500,0.1250,-0.2500,1002.64,20.66,88.69
742625,-9.1700,-0.8900,3.4400,-8.9774,-0.6925,3.7872,9.7681,-0.2500,-0.2500,-0.1250,1002.65,20.66,88.64
742666,-9.2000,-0.8900,3.3500,-9.0074,-0.6925,3.6972,9.7613,-0.0625,0.3125,0.0625,1002.65,20.66,88.65
742706,-9.1100,-0.8000,3.3800,-8.9174,-0.6025,3.7272,9.6838,0.1875,-0.2500,0.0000,1002.65,20.66,88.61
742746,-9.2000,-0.8700,3.3700,-9.0074,-0.6725,3.7172,9.7674,-0.1250,0.4375,-0.1250,1002.65,20.66,88.61
742786,-9.1100,-0.7700,3.3900,-8.9174,-0.5725,3.7372,9.6858,0.1250,-0.2500,0.0625,1002.65,20.66,88.65
742826,-9.2000,-0.8000,3.4000,-9.0074,-0.6025,3.7472,9.7743,0.1250,0.1875,0.1250,1002.65,20.66,88.61
742866,-9.2400,-0.7900,3.4000,-9.0474,-0.5925,3.7472,9.8106,0.1250,0.3750,-0.1250,1002.65,20.66,88.62
742906,-9.1500,-0.7300,3.4000,-8.9574,-0.5325,3.7472,9.7242,0.1875,-0.5625,0.1250,1002.65,20.66,88.64
742946,-9.1400,-0.8600,3.3900,-8.9474,-0.6625,3.7372,9.7191,0.1250,0.1875,0.0625,1002.65,20.66,88.63
742986,-9.0900,-0.7500,3.4200,-8.8974,-0.5525,3.7672,9.6778,0.1250,-0.5000,0.0000,1002.65,20.66,88.64
743026,-9.2100,-0.9300,3.4000,-9.0174,-0.7325,3.7472,9.7924,0.2500,0.0000,0.1250,1002.65,20.66,88.66
743066,-9.1600,-0.9400,3.3700,-8.9674,-0.7425,3.7172,9.7357,0.0625,0.1875,-0.0625,1002.65,20.66,88.66
743106,-9.1400,-0.8100,3.3400,-8.9474,-0.6125,3.6872,9.6967,0.0625,-0.1250,0.0625,1002.65,20.65,88.66
743146,-9.2800,-0.8900,3.4200,-9.0874,-0.6925,3.7672,9.8617,-0.0625,0.1875,0.1250,1002.65,20.65,88.61
