#logger=serial_logger_v1.3
#saved_at=2026-02-04T10:22:15.535226
#fs_hz=25
#fs_hz_inferred=1
#segment_id=1
#segment_start_ms=1979302
#device_mode_code=8
#device_mode_tag=walk
#storage_mode_tag=walk
#mode_mismatch=0
t_ms,ax_raw,ay_raw,az_raw,ax_corr,ay_corr,az_corr,acc_mag_corr,gx,gy,gz,pressure_hpa,temp_C,alt_m
1979302,-9.8500,0.2500,0.7100,-9.6574,0.4475,1.0572,9.7254,-1.6875,1.1250,0.7500,812.68,22.62,1822.27
1979321,-10.1500,0.1800,0.7400,-9.9574,0.3775,1.0872,10.0237,-2.3125,3.8750,0.5000,1012.63,19.27,5.19
1979345,-10.3900,0.2600,0.6500,-10.1974,0.4575,0.9972,10.2563,-4.3125,5.9375,0.0625,1012.62,19.29,5.22
1979370,-9.7400,-0.1200,0.7300,-9.5474,0.0775,1.0772,9.6083,-2.5625,5.6875,-2.0000,1012.61,19.31,5.32
1979394,-9.5700,0.2900,0.3200,-9.3774,0.4875,0.6672,9.4137,-1.6875,7.5000,-2.6250,1012.60,19.33,5.40
1979418,-9.4900,0.2200,0.5100,-9.2974,0.4175,0.8572,9.3462,-2.3125,9.7500,-4.9375,1012.60,19.36,5.44
1979444,-9.6800,0.0200,0.5700,-9.4874,0.2175,0.9172,9.5341,-7.7500,9.5625,-7.3125,1012.58,19.38,5.55
1979468,-9.7500,-0.8000,0.5600,-9.5574,-0.6025,0.9072,9.6192,-1.9375,15.8750,-2.1875,1012.57,19.41,5.62
1979501,-9.9900,-0.2800,-0.2200,-9.7974,-0.0825,0.1272,9.7986,-0.5625,16.1250,1.0000,1012.57,19.43,5.67
1979541,-9.9500,-0.1400,-0.3800,-9.7574,0.0575,-0.0328,9.7576,-0.1875,8.1875,1.1875,1012.56,19.45,5.76
1979582,-9.9100,-0.1000,-0.5000,-9.7174,0.0975,-0.1528,9.7191,-0.0625,4.4375,3.3750,1012.55,19.46,5.83
1979622,-10.1500,-0.2000,-0.2500,-9.9574,-0.0025,0.0972,9.9579,0.0625,2.6250,-0.3125,1012.55,19.47,5.84
1979662,-9.7900,0.0900,-0.0500,-9.5974,0.2875,0.2972,9.6063,0.6250,-0.6250,-0.6250,1012.56,19.47,5.79
1979702,-9.7900,0.0600,-0.0700,-9.5974,0.2575,0.2772,9.6049,0.1250,1.5000,-0.5000,1012.56,19.47,5.78
1979742,-9.8500,0.1200,-0.2800,-9.6574,0.3175,0.0672,9.6629,0.1875,-0.3125,0.9375,1012.55,19.47,5.80
1979781,-9.7700,0.0900,0.0300,-9.5774,0.2875,0.3772,9.5891,0.0625,-2.4375,1.4375,1012.55,19.47,5.83
1979821,-9.8700,-0.0700,-0.0100,-9.6774,0.1275,0.3372,9.6841,-0.2500,0.6250,2.6875,1012.55,19.47,5.83
1979861,-9.9000,0.0100,-0.1500,-9.7074,0.2075,0.1972,9.7116,-0.1875,0.1250,4.0625,1012.55,19.47,5.85
1979901,-9.6400,0.6300,-0.4700,-9.4474,0.8275,-0.1228,9.4844,1.0000,-2.3125,4.4375,1012.55,19.47,5.86
1979941,-9.6300,0.6700,-0.2400,-9.4374,0.8675,0.1072,9.4778,-0.3125,-7.8125,-5.1250,1012.54,19.47,5.88
1979981,-9.9700,0.1300,0.1700,-9.7774,0.3275,0.5172,9.7965,1.3125,-3.5000,-8.1250,1012.55,19.47,5.87
1980021,-9.8300,-0.3100,0.1500,-9.6374,-0.1125,0.4972,9.6509,-1.8750,-2.5000,-3.8750,1012.54,19.47,5.88
1980061,-9.8600,-0.0800,0.2500,-9.6674,0.1175,0.5972,9.6865,-2.9375,-3.1875,-2.5000,1012.54,19.47,5.90
1980101,-10.1600,-0.3800,0.1900,-9.9674,-0.1825,0.5372,9.9835,0.1875,1.7500,-2.8125,1012.54,19.47,5.92
1980141,-9.9200,-0.4300,-0.0100,-9.7274,-0.2325,0.3372,9.7360,-0.1875,-3.3750,-1.3750,1012.54,19.47,5.90
1980181,-9.5600,0.0700,0.0700,-9.3674,0.2675,0.4172,9.3805,0.6250,-6.3750,3.2500,1012.54,19.47,5.95
1980221,-9.6800,-0.2100,-0.2700,-9.4874,-0.0125,0.0772,9.4877,-0.6875,-3.4375,2.5625,1012.54,19.47,5.92
1980261,-10.3200,-0.0200,0.1700,-10.1274,0.1775,0.5172,10.1422,2.1875,-10.8125,3.9375,1012.54,19.47,5.93
1980301,-9.8900,-0.2900,-0.2700,-9.6974,-0.0925,0.0772,9.6981,0.0000,-6.2500,7.0625,1012.54,19.47,5.94
1980341,-9.5200,0.4400,0.3800,-9.3274,0.6375,0.7272,9.3774,-1.4375,-16.3125,10.2500,1012.54,19.47,5.94
1980381,-9.9500,0.6300,0.6200,-9.7574,0.8275,0.9672,9.8401,1.2500,-12.6875,4.5000,1012.54,19.47,5.95
1980421,-9.6800,0.7800,0.9600,-9.4874,0.9775,1.3072,9.6268,1.6250,-11.1250,-1.1875,1012.54,19.47,5.94
1980461,-9.2700,0.3100,1.2300,-9.0774,0.5075,1.5772,9.2274,1.4375,-3.7500,-9.1250,1012.55,19.47,5.85
1980501,-9.9100,-0.2900,0.7000,-9.7174,-0.0925,1.0472,9.7741,-0.1250,7.9375,-7.8750,1012.55,19.47,5.83
1980541,-10.3900,0.0000,0.3200,-10.1974,0.1975,0.6672,10.2211,0.5000,11.3125,-3.7500,1012.55,19.47,5.83
1980582,-9.9900,0.0100,0.3900,-9.7974,0.2075,0.7372,9.8273,-0.3750,6.7500,-2.9375,1012.55,19.47,5.82
1980622,-9.6600,0.2400,0.6500,-9.4674,0.4375,0.9972,9.5298,0.2500,10.4375,-3.8750,1012.55,19.47,5.82
1980662,-9.2300,0.4800,0.8900,-9.0374,0.6775,1.2372,9.1468,0.0625,12.6875,-4.0000,1012.55,19.48,5.85
1980702,-10.1800,-0.4800,0.5000,-9.9874,-0.2825,0.8472,10.0272,-0.4375,31.0625,-7.7500,1012.55,19.48,5.81
1980742,-10.1800,-0.2300,-0.0400,-9.9874,-0.0325,0.3072,9.9922,3.8750,35.1250,-6.1875,1012.55,19.48,5.80
1980781,-9.4900,-0.5600,-1.7400,-9.2974,-0.3625,-1.3928,9.4081,10.0000,27.5000,-2.9375,1012.56,19.48,5.75
1980821,-8.7300,-0.7500,1.4900,-8.5374,-0.5525,1.8372,8.7503,21.5000,-3.6250,-0.7500,1012.56,19.48,5.77
1980861,-9.8200,0.0400,-1.6000,-9.6274,0.2375,-1.2528,9.7115,35.0000,-2.8125,1.5625,1012.54,19.48,5.93
1980901,-10.2100,-0.0800,-0.0100,-10.0174,0.1175,0.3372,10.0238,4.1250,8.3125,-0.1875,1012.55,19.48,5.85
1980941,-10.6100,-0.7300,0.1100,-10.4174,-0.5325,0.4572,10.4410,-7.7500,8.6250,1.4375,1012.54,19.48,5.88
1980981,-9.6400,-0.0100,-0.7700,-9.4474,0.1875,-0.4228,9.4587,3.3125,18.0000,6.3750,1012.55,19.48,5.81
1981021,-9.5200,0.1100,-0.9700,-9.3274,0.3075,-0.6228,9.3532,-2.3125,14.6250,5.8750,1012.56,19.48,5.77
1981061,-9.6600,0.2300,-1.3800,-9.4674,0.4275,-1.0328,9.5332,-1.6250,11.7500,3.1875,1012.55,19.48,5.83
1981101,-9.5900,0.0500,-1.9300,-9.3974,0.2475,-1.5828,9.5330,-0.5625,10.5625,0.0000,1012.55,19.48,5.79
1981141,-9.7500,-0.0200,-2.0400,-9.5574,0.1775,-1.6928,9.7078,0.0000,-14.6875,-0.6250,1012.56,19.48,5.76
1981181,-9.5500,0.2300,-1.1400,-9.3574,0.4275,-0.7928,9.4007,-1.1250,-42.1250,0.5000,1012.56,19.48,5.78
1981221,-9.9000,0.1500,0.8500,-9.7074,0.3475,1.1972,9.7871,-4.8750,-47.3750,-0.4375,1012.56,19.48,5.77
1981261,-9.9000,-0.4500,0.7100,-9.7074,-0.2525,1.0572,9.7681,4.3125,-29.4375,-6.8750,1012.56,19.48,5.73
1981301,-9.3000,0.4100,0.8000,-9.1074,0.6075,1.1472,9.1994,1.1250,-11.2500,-2.3125,1012.56,19.48,5.75
1981341,-9.5900,-0.3100,0.8800,-9.3974,-0.1125,1.2272,9.4779,-3.4375,1.5625,-5.8750,1012.56,19.48,5.74
1981381,-10.1800,-0.2200,-0.1400,-9.9874,-0.0225,0.2072,9.9896,5.3125,11.1875,-1.5625,1012.56,19.48,5.77
1981421,-10.1800,-0.4200,-0.2400,-9.9874,-0.2225,0.1072,9.9905,-0.8750,6.5625,0.9375,1012.56,19.48,5.76
1981461,-9.6000,0.1200,-0.7700,-9.4074,0.3175,-0.4228,9.4222,2.6875,3.8125,0.1875,1012.56,19.48,5.74
1981501,-9.7600,0.0400,0.1800,-9.5674,0.2375,0.5272,9.5849,2.5625,-5.8125,-0.9375,1012.55,19.48,5.79
1981541,-9.7300,-0.1000,0.6300,-9.5374,0.0975,0.9772,9.5878,-6.7500,6.1875,2.1875,1012.56,19.48,5.76
1981582,-9.9000,-0.2800,-0.1300,-9.7074,-0.0825,0.2172,9.7102,1.9375,12.8125,2.4375,1012.56,19.49,5.72
