file,mode_folder,path,ok,reason,storage_mode_tag,device_mode_tag,mode_mismatch,fs_hz,fs_hz_inferred,segment_id,saved_at,n_rows,t_start_ms,t_end_ms,duration_s,median_dt_ms,fs_est_hz,max_dt_ms,n_gaps_gt_200ms,n_pressure_outliers,n_temp_outliers
bus_seg1_20260204_170911.csv,bus,/Users/spenceraldrich/Desktop/Union/Senior/Winter 2026/ECE-499/data/raw/self_collected/bus/bus_seg1_20260204_170911.csv,True,pressure_outliers,bus,bus,0,25,1,1,2026-02-04T17:09:11.922289,31396.0,33719.0,1289388.0,1255.669,40.0,25.0,41.0,0.0,1.0,0.0
bus_seg2_20260204_173011.csv,bus,/Users/spenceraldrich/Desktop/Union/Senior/Winter 2026/ECE-499/data/raw/self_collected/bus/bus_seg2_20260204_173011.csv,True,,bus,bus,0,25,1,2,2026-02-04T17:30:11.110738,29240.0,1292869.0,2462308.0,1169.439,40.0,25.0,41.0,0.0,0.0,0.0
bus_seg3_20260204_175040.csv,bus,/Users/spenceraldrich/Desktop/Union/Senior/Winter 2026/ECE-499/data/raw/self_collected/bus/bus_seg3_20260204_175040.csv,True,,bus,bus,0,25,1,3,2026-02-04T17:50:40.308365,26533.0,2522048.0,3583229.0,1061.181,40.0,25.0,41.0,0.0,0.0,0.0
car_seg1_20260203_192212.csv,car,/Users/spenceraldrich/Desktop/Union/Senior/Winter 2026/ECE-499/data/raw/self_collected/car/car_seg1_20260203_192212.csv,True,"timestamp_gaps,pressure_outliers",car,car,0,25,1,1,2026-02-03T19:22:12.227067,15193.0,50234.0,1315235.0,1265.001,40.0,25.0,657439.0,1.0,1.0,0.0
car_seg2_20260203_194440.csv,car,/Users/spenceraldrich/Desktop/Union/Senior/Winter 2026/ECE-499/data/raw/self_collected/car/car_seg2_20260203_194440.csv,True,timestamp_gaps,car,car,0,25,1,2,2026-02-03T19:44:40.675528,14459.0,1398647.0,2665116.0,1266.469,40.0,25.0,688280.0,1.0,0.0,0.0
car_seg3_20260224_143641.csv,car,/Users/spenceraldrich/Desktop/Union/Senior/Winter 2026/ECE-499/data/raw/self_collected/car/car_seg3_20260224_143641.csv,True,pressure_outliers,car,car,0,25,1,1,2026-02-24T14:36:41.227604,26535.0,741150.0,1802386.0,1061.236,40.0,25.0,41.0,0.0,1.0,0.0
car_seg4_20260224_145510.csv,car,/Users/spenceraldrich/Desktop/Union/Senior/Winter 2026/ECE-499/data/raw/self_collected/car/car_seg4_20260224_145510.csv,True,,car,car,0,25,1,2,2026-02-24T14:55:10.254401,32163.0,1850140.0,3136506.0,1286.366,40.0,25.0,41.0,0.0,0.0,0.0
subway_seg1_20260125_095718.csv,subway,/Users/spenceraldrich/Desktop/Union/Senior/Winter 2026/ECE-499/data/raw/self_collected/subway/subway_seg1_20260125_095718.csv,True,,,,,,,,,3955.0,4388493.0,4546551.0,158.058,40.0,25.0,40.0,0.0,0.0,0.0
subway_seg2_20260125_100016.csv,subway,/Users/spenceraldrich/Desktop/Union/Senior/Winter 2026/ECE-499/data/raw/self_collected/subway/subway_seg2_20260125_100016.csv,True,,,,,,,,,3998.0,4566808.0,4726591.0,159.783,40.0,25.0,40.0,0.0,0.0,0.0
subway_seg3_20260125_100314.csv,subway,/Users/spenceraldrich/Desktop/Union/Senior/Winter 2026/ECE-499/data/raw/self_collected/subway/subway_seg3_20260125_100314.csv,True,,,,,,,,,6446.0,4744890.0,5002591.0,257.701,40.0,25.0,40.0,0.0,0.0,0.0
